numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,280,151,2094,120,515,2072
2,1127,581,4921,397,852,2396
3,526,358,2861,286,381,1575
4,152,98,1571,79,185,485
5,176,80,1357,113,179,800
6,3588,2541,43914,1759,3442,12228
7,197,66,1470,98,216,475
8,490,260,1925,176,390,927
9,124,37,805,31,233,295
10,620,361,3648,332,324,1237
11,523,292,3854,201,448,1732
12,197,113,1628,116,252,653
13,7413,6258,86816,2794,5975,22824
14,1207,598,8976,662,1059,2831
15,97,29,650,34,68,237
16,440,200,3331,234,221,1093
17,738,423,8192,429,635,2550
18,405,364,3165,131,206,717
20,260,104,1699,81,161,504
21,611,546,5190,390,722,2195
22,381,169,2501,165,425,851
23,33,25,276,10,14,69
24,238,71,2415,121,220,781
25,842,498,6502,555,753,2879
26,899,740,7404,466,808,2372
27,790,353,4130,301,750,1992
28,629,373,3454,328,631,1542
30,2432,1704,33591,1094,2554,7643
31,2643,1467,23726,1394,3480,7828
32,66,26,1122,38,85,213
33,1620,1001,20667,878,1088,5423
34,571,268,5474,311,851,2369
35,3480,1927,32468,1371,2749,8908
36,159,98,1291,54,108,361
37,176,127,1128,90,146,544
38,956,579,6849,317,763,2299
39,109,63,852,57,139,399
40,829,513,7467,307,637,2587
41,634,402,4682,328,422,1602
42,1984,1106,22374,746,1043,4688
43,124,29,1241,34,338,375
44,1644,1140,12507,889,1948,4911
45,299,145,2752,160,297,1056
46,518,392,6138,349,677,2052
47,324,192,2018,134,168,697
48,0,0,0,0,0,116
49,374,143,1758,300,246,1056
50,1775,907,11418,1014,1481,4022
51,400,292,2832,216,423,1540
52,1200,536,9579,532,635,2829
53,55,16,218,36,40,104
54,1363,579,8644,772,1499,3173
55,0,3,5,1,5,1545
56,909,602,6474,552,397,2124
57,1208,685,7626,661,1185,6894
58,44,7,91,51,171,142
59,10448,5878,75521,4431,10374,19115
60,720,400,2977,387,464,4181
61,630,235,1869,167,202,718
62,6497,2566,26079,2139,2758,8585
63,743,503,7857,397,807,3938
64,1325,820,10953,480,1104,8291
65,40,13,88,36,135,2281
66,1830,1746,12786,1286,1801,5249
67,1296,945,6949,614,738,3305
68,77,49,583,43,103,2261
69,5801,4144,54264,2862,6567,15487
70,826,636,5026,480,636,1913
71,227,110,1799,88,157,4920
72,471,229,2782,129,362,892
73,708,473,5170,357,1220,3484
74,101,53,906,233,709,2561
75,10500,6969,138099,5986,12971,47222
76,2686,2652,22036,1390,2180,7163
77,3163,2047,30583,1580,5453,11482
78,4067,2770,38903,2329,5686,14007
79,231,83,1358,104,202,445
80,82,62,1082,37,89,240
81,1709,1135,10210,711,1563,4802
82,365,122,4244,181,612,1090
83,1703,1059,14543,772,1677,4968
84,800,455,6558,457,918,2568
85,610,281,5167,276,432,1414
86,234,67,1676,114,291,568
87,503,338,3333,265,588,1367
88,616,311,4241,300,507,1916
89,268,157,2518,142,345,777
90,326,198,1945,135,234,633
91,2806,1425,20683,960,2843,7224
92,6195,3903,64114,2728,8484,22474
93,8165,3803,63203,2434,8864,19650
94,5751,3338,54139,2104,6444,20720
95,2933,1745,22687,1025,3335,8757
991,394,307,2635,206,299,1323
992,808,427,8016,329,466,2200
